id,created_at,text
855459306711506944,2017-04-21 16:32:47,b'@DummyBbmp Hello! We will resolve your complaint'
855459301594451974,2017-04-21 16:32:45,b'@tehreem_ansari1 Hello! We will resolve your complaint'
855459292371177473,2017-04-21 16:32:43,b'@tehreem_ansari1 Hello! We will resolve your complaint'
855459286301908992,2017-04-21 16:32:42,b'@DummyBbmp Hello! We will resolve your complaint'
855457039299915776,2017-04-21 16:23:46,b'@jyotsana_123 Hello! We will resolve your complaint'
855456427183403008,2017-04-21 16:21:20,b'RT @jyotsana_123: @DummyBbmp Jyo_Test'
855326376223625216,2017-04-21 07:44:33,b'@tehreem_ansari1 Your garbage complain has been registered'
855319373422051330,2017-04-21 07:16:44,b'RT @tehreem_ansari1: #garbageBBMP @DummyBbmp Garbage complain testing 2!!!'
855315888764993538,2017-04-21 07:02:53,b'@tehreem_ansari1 Your garbage complain has been registered'
855312575776432129,2017-04-21 06:49:43,b'RT @tehreem_ansari1: #garbageBBMP @DummyBbmp Garbage complain testing 1'
855305514946674689,2017-04-21 06:21:40,b'RT @tehreem_ansari1: @DummyBbmp #RoadComplain road work in progress'
855305402921041922,2017-04-21 06:21:13,b'@tehreem_ansari1 Your complain has been registered'
855304284711276544,2017-04-21 06:16:46,b'RT @jyotsana_123: @DummyBbmp #Garabage collection is happening very infrequently in my area leading to overflowing of garbage from dumps. P\xe2\x80\xa6'
855290531324219394,2017-04-21 05:22:07,b'RT @Surabhi46677718: @DummyBbmp\nI have so many complaints.'
855290500097523714,2017-04-21 05:22:00,b'RT @Surabhi46677718: @DummyBbmp \nDummyBBMP\nI have complaints.'
855290409945186305,2017-04-21 05:21:38,b'RT @chellaaindu: @DummyBbmp #streetlights are not working in my area #JPNagar'
